PASILLO,UBICACION,CODIGO,DESCRIPCION,CANTIDAD,FECHA,Index
A,"A1,30",4141546,DISPLAY LENTEJITA FRUTAL-PALMESANO 2024,"3092,0",19/06/2024,524
A,"A1,30",4401598/01,DPY CHOCOLATE RAMA BLANCO X 30 GR 2024,"610,0",17/07/2024,525
A,"A1,30",4401598,DPY CHOCOLATE RAMA BLANCO X 30 GR-NUEVO,"50,0",17/07/2024,526
A,"A1,30",4401594/01,DPY CHOCOLATE EN RAMA LECHE X 30 G-2024,"657,0",17/07/2024,527
A,"A1,30",4401596,DPY CHOCOLATE RAMA SEMIAMARGO X 30 GR -NUEVO,"110,0",17/07/2024,528
A,"A1,30",4401216,BANDEJA RAMA X 30 GR IN 12067,"2500,0",01/08/2024,529
A,"A1,30",,"",,,530
A,"A1,30",,"",,,531
A,"A1,30",,"",,,532
A,"A1,30",,"",,,533
A,"A1,30",,"",,,534
A,"A1,30",,"",,,535
A,"A1,30",,"",,,536
A,"A1,30",,"",,,537
A,"A1,30",,"",,,538
A,"A1,30",,"",,,539
A,"A1,30",,"",,,540
A,"A1,31",4400923,DISPLAY PARA TABLETA 71% 10 X 80 G MUECAS- 23,"971,0",05/07/2024,541
A,"A1,31",4400924,FELXIBLE TABLETA 71% G- MUECAS- 2023,"20,9",05/07/2024,542
A,"A1,31",4401609/01,DISPLAY-BOCADITO BOMBONETT 228GR - 2024,"6950,0",17/07/2024,543
A,"A1,31",,"",,,544
A,"A1,31",,"",,,545
A,"A1,31",,"",,,546
A,"A1,31",,"",,,547
A,"A1,31",,"",,,548
A,"A1,31",,"",,,549
A,"A1,31",,"",,,550
A,"A1,31",,"",,,551
A,"A1,31",,"",,,552
A,"A1,31",,"",,,553
A,"A1,31",,"",,,554
A,"A1,31",,"",,,555
A,"A1,31",,"",,,556
A,"A1,31",,"",,,557
A,"A1,31",,"",,,558
A,"A1,32",4401434,CCC TORTA  X 6 UN IN 16041,"473,0",09/09/2024,559
A,"A1,32",,"",,,560
A,"A1,32",,"",,,561
A,"A1,32",,"",,,562
A,"A1,32",,"",,,563
A,"A1,32",,"",,,564
A,"A1,32",,"",,,565
A,"A1,32",,"",,,566
A,"A1,32",,"",,,567
A,"A1,32",,"",,,568
A,"A1,32",,"",,,569
A,"A1,32",,"",,,570
A,"A1,32",,"",,,571
A,"A1,32",,"",,,572
A,"A1,32",,"",,,573
A,"A1,32",,"",,,574
A,"A1,32",,"",,,575
A,"A1,32",,"",,,576
A,"A1,33",,"",,,577
A,"A1,33",,"",,,578
A,"A1,33",,"",,,579
A,"A1,33",,"",,,580
A,"A1,33",,"",,,581
A,"A1,33",,"",,,582
A,"A1,33",,"",,,583
A,"A1,33",,"",,,584
A,"A1,33",,"",,,585
A,"A1,33",,"",,,586
A,"A1,33",,"",,,587
A,"A1,33",,"",,,588
A,"A1,33",,"",,,589
A,"A1,33",,"",,,590
A,"A1,33",,"",,,591
A,"A1,33",,"",,,592
A,"A1,33",,"",,,593
A,"A1,33",,"",,,594
A,"A1,34",,"",,,595
A,"A1,34",,"",,,596
A,"A1,34",,"",,,597
A,"A1,34",,"",,,598
A,"A1,34",,"",,,599
A,"A1,34",,"",,,600
A,"A1,34",,"",,,601
A,"A1,34",,"",,,602
A,"A1,34",,"",,,603
A,"A1,34",,"",,,604
A,"A1,34",,"",,,605
A,"A1,34",,"",,,606
A,"A1,34",,"",,,607
A,"A1,34",,"",,,608
A,"A1,34",,"",,,609
A,"A1,34",,"",,,610
A,"A1,34",,"",,,611
A,"A1,34",,"",,,612
A,"A1,35",4199031,OPP TABLETA BALL-CHOC X 50G- 2023,"342,4",06/09/2024,613
A,"A1,35",,"",,,614
A,"A1,35",,"",,,615
A,"A1,35",,"",,,616
A,"A1,35",,"",,,617
A,"A1,35",,"",,,618
A,"A1,35",,"",,,619
A,"A1,35",,"",,,620
A,"A1,35",,"",,,621
A,"A1,35",,"",,,622
A,"A1,35",,"",,,623
A,"A1,35",,"",,,624
A,"A1,35",,"",,,625
A,"A1,35",,"",,,626
A,"A1,35",,"",,,627
A,"A1,35",,"",,,628
A,"A1,35",,"",,,629
A,"A1,35",,"",,,630
A,"A1,36",4196879,FLEX MANI COLOR  100G PALMESANO 2023,"278,2",12/08/2024,631
A,"A1,36",4198126,FLEX GARRAPIÑADA DE MANI X 60 G LATIN 2023,"109,7",12/08/2024,632
A,"A1,36",4400220,OPP MONOL BCO. TUR EST BARILO 180MM IN 13318,"222,3",10/09/2024,633
A,"A1,36",,"",,,634
A,"A1,36",,"",,,635
A,"A1,36",,"",,,636
A,"A1,36",,"",,,637
A,"A1,36",,"",,,638
A,"A1,36",,"",,,639
A,"A1,36",,"",,,640
A,"A1,36",,"",,,641
A,"A1,36",,"",,,642
A,"A1,36",,"",,,643
A,"A1,36",,"",,,644
A,"A1,36",,"",,,645
A,"A1,36",,"",,,646
A,"A1,36",,"",,,647
